outcome,prev_outcome,performance,RewP,task,cue
win,loss,0.847323582408116,7.303193942462536,low,low
loss,win,0.5097905995826778,6.6506867987197085,low,low
win,loss,0.9082917950299836,6.244629717542362,low,low
win,loss,0.7204092061832044,3.3601294959063166,low,low
win,win,0.5865244604246451,4.408418655746477,low,low
loss,win,0.947770098201178,10.694288812311031,low,low
loss,loss,0.5740858744801576,6.853102191434855,low,low
loss,win,0.8516161343827615,5.876750662136836,low,low
loss,win,0.7433100768399603,6.352106866778734,low,low
loss,loss,0.8968746319473353,4.69155979773837,low,low
win,win,0.7765068695867847,3.949204475378207,low,low
loss,loss,0.9062614245619484,8.440090738149364,low,low
loss,loss,0.9227387672668804,5.267675787288889,low,low
loss,win,0.5176046514365407,10.170172844653916,low,low
loss,win,0.6810409732699352,7.292094562981766,low,low
loss,win,0.8098434140565521,9.00393370019552,low,low
loss,win,0.5570329050830405,10.408266387039491,low,low
win,loss,0.9770814732415156,6.678706239636042,low,low
win,loss,0.5500508559315556,6.325351558802134,low,low
win,loss,0.9643261849202378,8.457988787592218,low,low
loss,win,0.6360237185505776,8.391120710741212,low,low
win,loss,0.5090519673832845,9.192427349702887,low,low
win,win,0.9481825849960444,6.44516542849175,low,low
loss,win,0.679477750727794,9.566630519895782,low,low
win,loss,0.6999107313504316,0.335055174449943,low,low
loss,win,0.9647622802060188,6.517582278647329,low,low
win,win,0.9216827589116948,2.699035440720264,low,low
loss,loss,0.9687213622239016,6.552061638716437,low,low
win,loss,0.5327967722000593,7.46927850009516,low,low
loss,loss,0.7911523930329695,6.949266731800542,low,low
win,win,0.8073682000477151,2.4617549235830243,low,low
loss,loss,0.5264294098434247,7.238683731736027,low,low
loss,win,0.7257407979641607,8.942479067381043,low,low
loss,loss,0.64264699031725,8.57885347300283,low,low
loss,loss,0.877302302316951,5.382653164880919,low,low
win,loss,0.9749044042579128,4.951553766124317,low,low
loss,win,0.6229254153328525,7.139109539733564,low,low
loss,loss,0.983541810720126,5.484104201708632,low,low
win,win,0.9799724269408064,11.323299461735676,low,low
loss,loss,0.8090451436295605,5.081076166260907,low,low
loss,win,0.8616606373297837,7.390649272716449,low,low
loss,win,0.792330482143258,7.993682562247374,low,low
win,loss,0.5604744305864348,4.681180060947903,low,low
loss,loss,0.7724661196988389,8.43548154188617,low,low
loss,loss,0.8233658754211779,10.37024366149615,low,low
win,loss,0.9348947298725228,11.691735165343657,low,low
loss,loss,0.5023191600931025,2.755829326435946,low,low
loss,loss,0.5715072602382294,7.603191138808099,low,low
win,win,0.5337173213259333,11.32879395160994,low,low
win,win,0.7901387555864292,6.210290721292452,low,low
loss,win,0.8418052047758813,4.585021138711083,low,low
win,loss,0.8014766307843991,8.894689949310507,mid,low
loss,loss,0.9676026981124582,6.468003415789132,mid,low
loss,win,0.918314924515063,10.806897817695456,mid,low
loss,loss,0.6148504194993301,9.613257634524832,mid,low
win,loss,0.5985889795523993,8.826041199384768,mid,low
win,win,0.5553360106346972,14.058691848154467,mid,low
loss,win,0.9455855701718674,4.669120917023999,mid,low
loss,win,0.9576355519047772,3.9211245372652255,mid,low
win,loss,0.5764398484338,6.817109819985835,mid,low
loss,win,0.8940325067929219,9.978355567290876,mid,low
win,win,0.619610954081097,3.5255385357297127,mid,low
win,win,0.6887316691535272,9.547977826816371,mid,low
win,win,0.6815594603914547,6.308242191287071,mid,low
win,loss,0.683615888940662,11.141412690300143,mid,low
loss,win,0.7701210104901075,5.343147861649764,mid,low
win,loss,0.9446706793326396,3.535221577339338,mid,low
loss,loss,0.9354429810919478,8.382289270983783,mid,low
loss,win,0.6496416446133844,7.784980123364483,mid,low
win,win,0.5388256781657147,11.418323346189268,mid,low
loss,win,0.6406192826093409,5.08543046021717,mid,low
loss,win,0.7674721064791724,10.234771215345509,mid,low
win,win,0.7674320496141391,9.446594917084033,mid,low
loss,loss,0.5474801627909147,3.330650155425332,mid,low
win,loss,0.537084364465894,11.233914049149956,mid,low
win,loss,0.6740459819424818,5.084837486980063,mid,low
loss,win,0.8026267577224537,5.554869467652965,mid,low
loss,win,0.5681087425839162,9.644713567108203,mid,low
loss,win,0.5476451418301734,12.19707116485687,mid,low
win,loss,0.5560261606647778,6.081390787438796,mid,low
loss,win,0.584092972505526,6.067499052759916,mid,low
win,loss,0.784229305828246,5.990974293460048,mid,low
win,win,0.8117145243730219,6.91024436819114,mid,low
loss,win,0.6731332316058872,1.8409096237268283,mid,low
win,loss,0.98855985650093,5.270325376589475,mid,low
loss,win,0.6986386523094039,16.851501223494697,mid,low
win,win,0.6867099255663109,6.431081404647365,mid,low
win,win,0.5525686570452323,1.4269324103714167,mid,low
win,win,0.5470976866112423,11.594553118552115,mid,low
win,loss,0.5154841922581139,7.129978052330096,mid,low
loss,win,0.6240314862853656,4.813449574234138,mid,low
win,win,0.9239706861203356,9.931374746084654,mid,low
win,win,0.5670393183243851,2.5591291824347677,mid,low
loss,loss,0.98220988282205,10.855850095382078,mid,low
win,loss,0.6323029069593993,0.2471460758586321,mid,low
win,loss,0.6566679781953372,7.874891011530292,mid,low
loss,win,0.7327642888158945,11.795218593101165,mid,low
loss,win,0.6398278788598342,7.74608104759374,mid,low
win,loss,0.8979396271443818,6.6024045163589165,mid,low
loss,loss,0.817718509294399,5.564689007025805,mid,low
win,loss,0.9679382811718792,3.994041474269995,mid,low
loss,loss,0.998103634208244,11.30457714914728,mid,high
win,win,0.9330757622665596,8.908309287103894,mid,high
win,win,0.6775367027710912,10.876470247295366,mid,high
loss,win,0.7834931591911339,9.940251309657151,mid,high
loss,loss,0.5553938291553691,8.777955420073576,mid,high
win,loss,0.5155080936161771,4.328559783989771,mid,high
win,loss,0.970584640258891,7.617124004205152,mid,high
loss,win,0.8188674982401638,4.0450309928166455,mid,high
win,loss,0.9233628165724528,5.2655225805834505,mid,high
loss,win,0.9805363988984088,4.403656313054969,mid,high
win,loss,0.9510477712774876,9.292687856880365,mid,high
win,win,0.9222046320477032,8.940186227746036,mid,high
loss,win,0.8626983467672773,7.837937681850729,mid,high
win,win,0.5394494270855182,3.640542776283176,mid,high
win,loss,0.9737729800957162,8.003820155265037,mid,high
win,loss,0.7742167515184923,7.47454545593446,mid,high
loss,win,0.8234135747167532,12.31536376921476,mid,high
win,win,0.7815051705701082,7.16507354625178,mid,high
win,win,0.8020005271427391,3.901815552462178,mid,high
win,loss,0.6928540877456203,10.179742549461578,mid,high
loss,win,0.5845181587523656,11.163212315999136,mid,high
win,win,0.7505241753838616,5.242500358892535,mid,high
win,win,0.808013196905914,4.430217839757657,mid,high
loss,win,0.9623662431836488,11.261519024891635,mid,high
win,win,0.6998603185380463,5.733357292579726,mid,high
loss,win,0.6280497270948251,6.168543167194814,mid,high
loss,win,0.7147895470066723,8.8713570139187,mid,high
loss,win,0.8063924344859366,10.568720407068058,mid,high
win,loss,0.5328512961260143,4.25035321182057,mid,high
loss,win,0.5920266847940909,10.981108965904408,mid,high
win,win,0.9582271921283898,8.905276729717531,mid,high
loss,win,0.8833698957722447,5.098261986106516,mid,high
win,win,0.7470893536650212,9.89327021547462,mid,high
win,loss,0.7555865835996884,5.548835119498363,mid,high
win,win,0.562755494563908,6.576225129109266,mid,high
loss,loss,0.6614103026497169,13.674966889769928,mid,high
win,loss,0.8726393985534407,4.230318590462423,mid,high
win,win,0.9903480505219462,8.45754868141542,mid,high
win,win,0.9760150733512246,6.665526139667631,mid,high
win,loss,0.8266987483414329,10.075350524804504,mid,high
win,win,0.980808315068451,13.10333703955381,mid,high
win,loss,0.8621402305532999,13.50392139733342,mid,high
win,win,0.7920544228081033,6.89735875203302,mid,high
win,win,0.7738840701195436,5.324263195993682,mid,high
loss,loss,0.5241456939970082,5.704773009795192,mid,high
loss,win,0.8764940129430774,8.084864303725338,mid,high
loss,win,0.594343209780818,8.208328826951652,mid,high
loss,win,0.8875705000026562,14.18110044451613,mid,high
win,loss,0.8047161015772507,3.8454391726378168,mid,high
win,win,0.760367130844339,6.435052569932033,mid,high
win,loss,0.686451366460697,4.519454842280178,high,high
win,win,0.9888203231057012,9.66855706697731,high,high
loss,loss,0.8070483432099246,5.121011985733751,high,high
win,win,0.9577762637867798,4.685171130140875,high,high
loss,win,0.7961513726314982,9.181060695421078,high,high
loss,win,0.5626302177581348,3.980157616266588,high,high
win,win,0.9249395719788276,1.1779655379103051,high,high
loss,win,0.6519623283178786,11.237626156182497,high,high
win,win,0.86371554814859,10.941346725765596,high,high
win,loss,0.6352909240303997,5.508812847877543,high,high
loss,win,0.7176089093113822,4.43028354236257,high,high
loss,win,0.60888221594536,5.028767616324157,high,high
loss,loss,0.6227760359370023,1.9004213826582843,high,high
win,win,0.9717578287412594,5.584099057931299,high,high
win,loss,0.5682764702922702,6.799320355041129,high,high
win,win,0.9192564977907092,3.10065693851518,high,high
win,win,0.9910362478513628,2.9687069016986234,high,high
win,win,0.5570251372948458,9.170261828310029,high,high
win,win,0.6936799385589764,3.962448398213148,high,high
loss,win,0.7185369817967692,-1.8908527222062128,high,high
loss,loss,0.9257781553797628,4.1120002767691926,high,high
win,win,0.8087198157040125,0.5046543519621203,high,high
loss,loss,0.992157289693173,3.5386025297256234,high,high
win,win,0.9750606998667628,6.0784740310913286,high,high
win,loss,0.91179054691207,5.234954749650706,high,high
loss,win,0.8583751667172036,5.331080412676102,high,high
win,win,0.7905058924642263,7.017557100734931,high,high
win,win,0.6274410090026536,7.0795699823145215,high,high
win,loss,0.984534697204746,4.190769398690456,high,high
win,loss,0.5890168488581353,6.112030281542165,high,high
win,loss,0.7619918138209456,6.705524433294594,high,high
win,win,0.5091689960119365,2.597477971929209,high,high
win,win,0.5704980630857506,8.264946099622739,high,high
win,win,0.5572002331816981,4.388274281475022,high,high
win,win,0.8755195930762786,-3.7382768084133,high,high
win,loss,0.6323056426716169,5.14168406116421,high,high
win,win,0.9139735816728822,8.137314332994201,high,high
loss,win,0.9137767300480956,6.387862982927657,high,high
loss,win,0.7256097165562911,5.124455623840388,high,high
loss,loss,0.7699792407667977,4.786596302283558,high,high
loss,win,0.9666331196975768,3.0434302279210192,high,high
win,loss,0.7690241138811746,5.494008521401077,high,high
win,win,0.6960428055734198,3.0277118897741886,high,high
win,loss,0.9685984662921638,7.265743308581229,high,high
win,win,0.8898184324830647,5.071072476592794,high,high
loss,win,0.5768686245152914,6.72874076826269,high,high
win,win,0.5319441186833602,10.709342068249947,high,high
win,win,0.7023970784659481,11.162365270825598,high,high
win,win,0.6031409084743067,3.8301234105175848,high,high
win,win,0.6341709505014363,4.69541099689112,high,high
win,loss,0.5227025283910116,9.044332326652386,high,high
win,loss,0.5171415836975797,2.9252956555592213,high,high
win,win,0.993937119836522,2.45164216878622,high,high
win,loss,0.5743363017365253,5.33130911936635,high,high
win,loss,0.5881385941806654,8.83131147545802,high,high
win,win,0.5802245668716468,8.445679094199784,high,high
loss,win,0.8554368656180769,6.8842640374573705,high,high
win,win,0.654675734288174,-0.8837224545940119,high,high
win,loss,0.6657932949196905,3.935303710635752,high,high
loss,win,0.614293574579911,8.314822290973185,high,high
loss,win,0.5765878076637756,3.376137280689293,high,high
loss,win,0.7099086312102081,5.84898128379457,high,high
win,loss,0.545799181209176,6.1345092831392325,high,high
loss,win,0.8353257274314648,7.183772396389138,high,high
win,win,0.5333941232089099,6.721362201016309,high,high
win,win,0.8336012835142983,6.390835044072788,high,high
loss,win,0.9272561530152232,-2.020186738445208,high,high
win,win,0.5663564499645983,3.210160969428962,high,high
win,win,0.718197432185072,2.531460003795223,high,high
win,win,0.7447574237436855,9.500107411620329,high,high
win,loss,0.9661025946119708,6.674091650636749,high,high
loss,loss,0.5149355537800181,8.822261353379119,high,high
win,win,0.8127418729643896,3.796151800220544,high,high
win,win,0.56408515770763,9.139708538409804,high,high
win,loss,0.5436692962413865,6.720446428660903,high,high
win,win,0.8676854446347226,4.498119443540288,high,high
win,win,0.7372360684328711,0.3900732142880798,high,high
win,loss,0.6090050747156823,2.5398632262429706,high,high
win,win,0.893946681803391,4.792234842361403,high,high
win,loss,0.5286384673331059,0.1870195416057631,high,high
win,win,0.7599202790058164,2.9694063370267587,high,high
win,win,0.7794156808156716,8.29373014256584,high,high
loss,win,0.9620387324882642,5.630743743797434,high,high
win,loss,0.8466690212112843,0.5863326806412257,high,high
loss,win,0.7214934063704875,4.583352755202377,high,high
win,loss,0.8091339670757068,5.999010118254251,high,high
win,win,0.9245109171142704,3.787825529761009,high,high
win,win,0.9227235304232088,8.531308552762813,high,high
win,win,0.608427975683641,3.803543931476218,high,high
win,win,0.6831359953538831,6.173787881112432,high,high
win,win,0.9052264223174652,3.081134776805885,high,high
win,win,0.8438279808595653,8.77277589358464,high,high
loss,win,0.5652920088782711,5.798118900453972,high,high
loss,win,0.629014953585176,5.816955993601547,high,high
win,win,0.5712376324280731,7.4530119522556495,high,high
win,win,0.9684161700158044,8.296150330802153,high,high
win,win,0.8007989501507116,5.460388305074056,high,high
loss,loss,0.9806807711220142,7.022171243894025,high,high
win,win,0.6636579242573799,1.0326071306849691,high,high
loss,win,0.8631431425920877,-0.9465208060903264,high,high
